TRIAL,TIME,PK
1,    116, Y
2,    113, Y
3,    112, Y
4,    114, Y
5,    118, Y
6,    194, Y
7,    115, Y
8,    119, Y
9,    110, Y
10,   109, Y
11,   114, Y
12,   108, Y
13,   107, Y
14,   115, Y
15,   123, Y
16,   130, Y
17,   116, Y
18,   119, Y
19,   115, Y
20,   109, Y
1,  13144, N
2,  12011, N
3,  12016, N
4,  11984, N
5,  11996, N
6,  11890, N
7,  11799, N
8,  11752, N
9,  11713, N
10, 11704, N
11, 11689, N
12, 11685, N
13, 11677, N
14, 11852, N
15, 11737, N
16, 11690, N
17, 11690, N
18, 11695, N
19, 11706, N
20, 11720, N
